soc,hold_time_h,P_head_total_mw,P_head_frac_of_rated,dP_critical_mw,A_bar,binding_gfm,P_head_G1_mw,P_head_G2_mw,P_head_G3_mw,P_head_G4_mw,P_head_G5_mw,P_head_G6_mw
0.325,0.5,3.0726450000000005,0.9000131810193324,2.944490628706999,6.005968170952117,G2,1.024245,0.5121,0.5121,0.25605,0.5121,0.25605
0.35,0.5,3.4139999999999997,1.0,3.271656254118887,6.005949225582358,G2,1.138,0.5689999999999998,0.5689999999999998,0.2844999999999999,0.5689999999999998,0.2844999999999999
0.375,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.4,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.425,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.45,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.475,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.5,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.525,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.55,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.575,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.6,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.625,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.65,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.675,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.7,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.725,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.75,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.775,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.8,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.825,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.85,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.875,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.9,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.925,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.95,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.975,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
1.0,0.5,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
