pflow_converged,eig_ok,error,n_modes,n_free_angle,max_re_all,max_re,n_unstable,stable,zeta_min,f_at_zeta_min_hz,zeta_min_lf,f_at_zeta_min_lf_hz,f_worst_unstable_hz,wallclock_s,deployment,x_f_pu,droop_r,load_p2z,p_head_mw,config,kp_plim,kp_i,ki_i
True,True,,47,5,1.8858366037315059e-10,-1.0868838758579022,0,True,0.01879692568001548,76.55988235869734,0.5721772470361152,0.2479450178720959,,0.2,2gfm,0.05,0.05,1.0,,B,0.2,0.1,3.0
True,True,,47,5,4.151690376513052,4.151690376513052,2,False,-0.018354546776917835,35.99384623344993,0.4838060992513854,4.865064307419474,35.99384623344993,0.45,2gfm,0.1,0.02,0.0,,B,0.2,0.1,3.0
True,True,,47,5,3.664811707008255,3.664811707008255,2,False,-0.016102620675198003,36.21753786767815,0.5430530374997121,0.27186856665976217,36.21753786767815,0.2,2gfm,0.1,0.02,1.0,,B,0.2,0.1,3.0
True,True,,47,5,0.0,-1.1342639672610209,0,True,0.017644397571441605,38.073576714279916,0.4793081322085944,4.908230754760427,,0.2,2gfm,0.1,0.03,0.0,,B,0.2,0.1,3.0
True,True,,47,5,1.5259869736684592e-08,-1.0988887114872474,0,True,0.018965888765496493,38.29251598420901,0.5616530636508017,0.25763625526177963,,0.2,2gfm,0.1,0.03,1.0,,B,0.2,0.1,3.0
True,True,,47,5,4.430515679569093e-09,-1.1243029348157454,0,True,0.07176931086800709,42.57937753997766,0.47490474441684644,4.997017851591492,,0.2,2gfm,0.1,0.05,0.0,,B,0.2,0.1,3.0
True,True,,47,5,2.8790395394557236e-08,-1.0877780793442855,0,True,0.07183764259324932,42.77601924500202,0.5722750343294685,0.24808596387346868,,0.2,2gfm,0.1,0.05,1.0,,B,0.2,0.1,3.0
True,True,,47,5,5.431564373182397,5.431564373182397,2,False,-0.03522654169845605,24.52479727400451,0.47902602506132,4.851173974574203,24.52479727400451,0.2,2gfm,0.15,0.02,0.0,,B,0.2,0.1,3.0
True,True,,47,5,4.77103840281594,4.77103840281594,2,False,-0.03065543885665477,24.75832985776142,0.5430728870693424,0.2721028355663537,24.75832985776142,0.47,2gfm,0.15,0.02,1.0,,B,0.2,0.1,3.0
True,True,,47,5,2.0497717188322094e-09,-1.135391380876619,0,True,0.022278725724664505,25.984949013236978,0.4736123160907882,4.89785227701797,,0.2,2gfm,0.15,0.03,0.0,,B,0.2,0.1,3.0
True,True,,47,5,3.3312864615836964e-08,-1.0998573013927517,0,True,0.02480793119040862,26.224636885461287,0.5617317248135896,0.2578105915298886,,0.2,2gfm,0.15,0.03,1.0,,B,0.2,0.1,3.0
True,True,,47,5,1.667454400324302e-14,-1.1253657878858057,0,True,0.12070651178226172,29.567577415645605,0.46699937388464424,4.997805455831328,,0.2,2gfm,0.15,0.05,0.0,,B,0.2,0.1,3.0
True,True,,47,5,3.875233006311916e-09,-1.0886761714440278,0,True,0.1198229875580105,29.787361421946652,0.5723735348368145,0.2482272491604953,,0.2,2gfm,0.15,0.05,1.0,,B,0.2,0.1,3.0
True,True,,47,5,7.926782774399658,7.926782774399658,2,False,-0.06720944679070373,18.728529005388182,0.47353243360114455,4.828737853986327,18.728529005388182,0.2,2gfm,0.2,0.02,0.0,,B,0.2,0.1,3.0
True,True,,47,5,7.058128629150254,7.058128629150254,2,False,-0.05916270322590718,18.95397456642984,0.5430931253923611,0.2723381746926725,18.95397456642984,0.45,2gfm,0.2,0.02,1.0,,B,0.2,0.1,3.0
True,True,,47,5,0.0,-0.3373520543958133,0,True,0.002724568119898061,19.70625999198301,0.4674027212553822,4.877149395141111,,0.21,2gfm,0.2,0.03,0.0,,B,0.2,0.1,3.0
True,True,,47,5,3.393929142157298e-08,-1.0013983186906312,0,True,0.007988012592539744,19.95144670706065,0.5618111077915348,0.25798548517506004,,0.2,2gfm,0.2,0.03,1.0,,B,0.2,0.1,3.0
True,True,,47,5,3.1664339390951636e-09,-1.1264340831005528,0,True,0.15036665288040219,22.136820734805898,0.45883780760783666,4.9834001461142625,,0.2,2gfm,0.2,0.05,0.0,,B,0.2,0.1,3.0
